key,nom,editeur,categories,installs,avis,note,cloud,modele_dc,derniere_version_dc
com.mxgraph.confluence.plugins.diagramly,"draw.io Diagrams | UML, BPMN, AWS, ERD, & Flowcharts",Seibert - draw.io,Charts & diagramming;Blueprints;Macros;Design tools,61846,1205,4.81,oui,atlassian,2026-09-23
com.onresolve.jira.groovy.groovyrunner,ScriptRunner for Jira,The Adaptavist Group,Admin tools;Workflow;Custom fields;IT & helpdesk,34797,826,4.64,oui,atlassian,2026-09-11
com.xpandit.plugins.xray,Xray - Test Management for Jira,Xblend,Custom fields;Dashboard gadgets;Testing & QA,25234,553,4.3,oui,atlassian,2026-09-15
is.origo.jira.tempo-plugin,Timesheets by Tempo - Jira Time Tracking,Tempo Software,Time tracking;Dashboard gadgets;Charts & diagramming;Project management,26686,898,4.13,oui,atlassian,2026-09-24
com.innovalog.jmwe.jira-misc-workflow-extensions,Jira Misc Workflow Extensions (JMWE),Appfire,Admin tools;Workflow;IT & helpdesk;Project management,16656,534,4.81,oui,atlassian,2026-09-16
com.almworks.jira.structure,Structure by Tempo - Jira Portfolio Management PPM,Tempo Software,Dashboard gadgets;Reports;Utilities;Project management,12892,408,4.55,oui,atlassian,2026-08-21
com.googlecode.jira-suite-utilities,JSU Automation Suite for Jira Workflows,Appfire,Admin tools;Workflow;Utilities;Project management,12251,298,4.56,oui,atlassian,2026-07-28
com.eazybi.jira.plugins.eazybi-jira,"eazyBI for Jira Reports, Charts, and Dashboards",eazyBI,Dashboard gadgets;Charts & diagramming;Reports;Project management,10976,227,4.71,oui,atlassian,2026-06-17
com.kanoah.test-manager,Zephyr - Test Management and Automation for Jira,SmartBear,Custom fields;Dashboard gadgets;Reports;Testing & QA,15095,492,4.13,oui,atlassian,2026-09-10
com.qotilabs.jira.rich-filters-plugin,Rich Filters for Jira Dashboards,Appfire,Dashboard gadgets;Charts & diagramming;Reports;Project management,9710,185,4.76,oui,atlassian,2026-09-08
com.k15t.scroll.scroll-pdf,Scroll PDF Exporter for Confluence,K15t,Document management;Documentation;Utilities,8815,228,4.72,oui,atlassian,2026-09-24
com.alphaserve.powerbi-connector-jira,Power BI Connector for Jira,Tempo Software,Charts & diagramming;Reports;Integrations;Project management,8816,159,4.7,oui,atlassian,2026-09-23
