url,nom,prix,scopes,scopes_anciens,statut
https://slack.com/marketplace/A024R9PQM-zapier,Zapier & Slack Integration | Slack Marketplace,Free and paid plans available,canvases:read canvases:write channels:history channels:join channels:manage channels:read channels:write chat:write chat:write.customize chat:write.public commands emoji:read files:read files:write groups:history groups:read groups:write im:read im:write mcp:connect mpim:read mpim:write reactions:read reactions:write reminders:read reminders:write search:read stars:read team:read users.profile:read users.profile:write users:read users:read.email,,
https://slack.com/marketplace/A024V4Y32-rollbar,Rollbar & Slack Integration | Slack Marketplace,Free and paid plans available,channels:read chat:write chat:write.public groups:read,,
https://slack.com/marketplace/A026TMMGZ-envoy,Envoy & Slack Integration | Slack Marketplace,Paid with free trial,channels:read chat:write commands files:read groups:read im:history team:read users.profile:read users.profile:write users:read users:read.email,,
https://slack.com/marketplace/A028EET9K-reamaze,Reamaze & Slack Integration | Slack Marketplace,Paid with free trial,channels:read chat:write chat:write.public groups:read users:read users:read.email,,
https://slack.com/marketplace/A028LGAFF-ifttt,IFTTT & Slack Integration | Slack Marketplace,,identify ifttt,identify,
https://slack.com/marketplace/A029JSE6S-woopra,Woopra & Slack Integration | Slack Marketplace,Free and paid plans available,channels:read chat:write chat:write.public groups:read,,
https://slack.com/marketplace/A02MQ7G50-groove,Groove & Slack Integration | Slack Marketplace,,channels:read channels:write chat:write:bot identify users:read users:read.email,identify,
https://slack.com/marketplace/A02NEMM42-sketchboard,Sketchboard & Slack Integration | Slack Marketplace,Free and paid plans available,channels:read chat:write commands files:write groups:read users:read users:read.email,,
https://slack.com/marketplace/A03BS4Q25-chatlio,Chatlio & Slack Integration | Slack Marketplace,Paid with free trial,channels:history channels:join channels:manage channels:read channels:write chat:write chat:write.customize commands files:read files:write users:read users:read.email,,
https://slack.com/marketplace/A03EA2WU3-google-cloud-monitoring,Google Cloud Monitoring & Slack Integration | Slack Marketplace,Free,chat:write chat:write.customize chat:write.public,,
https://slack.com/marketplace/A03EEEKAC-sunshine-conversations,Sunshine Conversations & Slack Integration | Slack Marketplace,Paid with free trial,channels:read channels:write chat:write:bot commands identify reactions:write users:read users:read.email,identify,
https://slack.com/marketplace/A03HHTUN5-appbot-app-review-alerts-replies,Appbot: App review alerts & replies & Slack Integration | Slack Marketplace,Paid with free trial,incoming-webhook,,
https://slack.com/marketplace/A040V0NDN-jell,Jell & Slack Integration | Slack Marketplace,Paid with free trial,channels:read chat:write chat:write.customize chat:write.public commands email files:read groups:read im:history im:read im:write mpim:history mpim:read mpim:write openid profile team:read users:read users:read.email,,
https://slack.com/marketplace/A0420JJBG-meistertask,MeisterTask & Slack Integration | Slack Marketplace,Free and paid plans available,channels:join channels:read chat:write commands groups:read im:write links:read links:write users:read,,
https://slack.com/marketplace/A049DK44V-basicops,BasicOps & Slack Integration | Slack Marketplace,Paid with free trial,channels:read channels:write chat:write commands groups:read team:read users:read users:read.email,,
https://slack.com/marketplace/A04E6JX41-polly,Polly & Slack Integration | Slack Marketplace,Free and paid plans available,app_mentions:read channels:join channels:read chat:write chat:write.public commands email emoji:read groups:read identity.basic im:history im:read im:write links.embed:write links:read links:write mcp:connect mpim:read mpim:write openid profile reactions:read team:read usergroups:read users:read users:read.email workflow.steps:execute,,
https://slack.com/marketplace/A04HFQ65G-ghost-inspector,Ghost Inspector & Slack Integration | Slack Marketplace,Paid with free trial,chat:write chat:write.customize chat:write.public,,
https://slack.com/marketplace/A04N642T5-nevercode,Nevercode & Slack Integration | Slack Marketplace,Paid with free trial,chat:write:bot,,
https://slack.com/marketplace/A04TY9R1W-weekdone,Weekdone & Slack Integration | Slack Marketplace,Free and paid plans available,app_mentions:read channels:read chat:write chat:write.public commands groups:read im:history im:read im:write users:write,,
https://slack.com/marketplace/A055DTB1N-harmonia,Harmonia & Slack Integration | Slack Marketplace,Free and paid plans available,channels:read chat:write chat:write.customize chat:write.public identify im:read im:write mpim:read mpim:write team:read users:read,identify,
https://slack.com/marketplace/A0659EDGA-asknicely,AskNicely & Slack Integration | Slack Marketplace,Paid,channels:manage channels:read chat:write chat:write.public groups:read,,
https://slack.com/marketplace/A06GEEMJM-biztera,Biztera & Slack Integration | Slack Marketplace,Paid with free trial,chat:write chat:write.customize chat:write.public commands incoming-webhook users:read users:read.email,,
https://slack.com/marketplace/A06GPJ1FT-tonkean,Tonkean & Slack Integration | Slack Marketplace,Paid,app_mentions:read channels:history channels:manage channels:read chat:write chat:write.customize chat:write.public commands files:read groups:read groups:write im:history im:read im:write mpim:write reactions:write team:read usergroups:read usergroups:write users:read users:read.email,,
https://slack.com/marketplace/A06JN7G0Z-fullstory,Fullstory & Slack Integration | Slack Marketplace,Free and paid plans available,channels:read chat:write chat:write.public groups:read,,
https://slack.com/marketplace/A06MBNBND-yarn,Yarn & Slack Integration | Slack Marketplace,,commands identify,identify,
https://slack.com/marketplace/A074YH40Z-trello,Trello & Slack Integration | Slack Marketplace,Free,channels:history channels:read channels:write chat:write chat:write.public commands dnd:read emoji:read files:read groups:history groups:read groups:write im:history im:write links:read links:write mpim:history reactions:read reactions:write reminders:write search:read stars:read team:read users:read users:read.email,,
https://slack.com/marketplace/A0789LKLZ-app-monitoring-by-appfigures,App Monitoring by Appfigures & Slack Integration | Slack Marketplace,Paid with free trial,incoming-webhook,,
