nom,ville,departement,adresse,type,pokemon,one_piece,autres_tcg,rachat_cartes,singles,scelle,ecommerce,priorite,source,site_web,plateforme,potentiel_scraping,statut,date_verification,doublon_potentiel
Atmos Arena - Boutique TCG,Paris,75,"4 Rue du Caire, 75002 Paris",TCG,Oui,Oui,Oui,À vérifier,À vérifier,Oui,À vérifier,P1,MapTCG,atmos-arena.com,prestashop,Oui,candidat_verifie (1478 produits/610 slugs pokemon -- TRES bon signal),2026-08-25,Non
Cards and Games,Paris,75,"5 Bd Voltaire, 75011 Paris",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,aucun trouve (Instagram uniquement),aucune,Non,verifie_non_scrapable,2026-08-25,Non
Cartabaffe,Paris,75,"78 Rue Notre Dame de Nazareth, 75003 Paris",TCG Pokémon,Oui,Non,Non,À vérifier,Oui,Oui,À vérifier,P1,MapTCG,aucun (eBay+Instagram uniquement),ebay_uniquement,Non,verifie_non_scrapable,2026-08-25,Non
Curious Pop,Paris,75,"57 Rue du Temple, 75004 Paris",TCG Pokémon / rachat,Oui,Non,Non,Oui,Oui,Oui,Oui,P1,MapTCG,curiouspop.com,prestashop,Oui,candidat_verifie (36 produits/13 slugs pokemon -- petit catalogue),2026-08-25,Non
Fuji Store Paris - Cards Store,Paris,75,"6 Rue Rampon, 75011 Paris",TCG,Oui,Oui,Oui,Oui,Oui,Oui,Oui,P1,MapTCG,fuji-store.fr,woocommerce,Oui,deja_scrape,2026-08-25,Non
Fuji Store Paris - TCG,Paris,75,"57 Rue de Malte, 75011 Paris",TCG,Oui,Oui,Oui,Oui,Oui,Oui,Oui,P1,MapTCG,fuji-store.fr,woocommerce,Oui,deja_scrape,2026-08-25,Non
Game Corner,Paris,75,"15 Rue Saint-Jacques, 75005 Paris",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,gamecorner.free.fr,"a_verifier (site ancien, principalement jeux video)",a_verifier_plateforme,"url_trouvee mais boutique principalement jeux video, pas TCG",2026-08-25,Non
Geek Factory Italie Deux,Paris,75,"30 Av. d'Italie, 75013 Paris",TCG,Oui,Oui,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,geekfactory.games,a_verifier,a_verifier_plateforme,url_trouvee (chaine 13 boutiques en France),2026-08-25,Non
GOLDEN TCG,Paris,75,"39-41 Pass. Choiseul, 75002 Paris",TCG,Oui,Oui,Oui,À vérifier,À vérifier,Oui,Oui,P2,MapTCG,goldentcg.com,a_verifier,a_verifier_plateforme,url_trouvee,2026-08-25,Non
Hobby one,Paris,75,"15 Bd Voltaire, 75011 Paris",TCG,Oui,Oui,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,hobby-one.net,woocommerce,Oui,deja_scrape,2026-08-25,Non
JM Cards,Paris,75,"135 Av. des Champs-Élysées, 75008 Paris",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,À vérifier,P1,MapTCG,jmcards.fr,woocommerce,a_verifier_manuellement,insuffisant_verifie (0 produit detecte -- sitemap WooCommerce peut-etre non standard),2026-08-25,Non
Joe la Carte,Paris,75,"24 Rue du Grand Prieuré, 75011 Paris",TCG / rachat,Oui,Non,Non,Oui,Oui,Oui,À vérifier,P1,MapTCG,aucun (Instagram/YouTube/TikTok uniquement),aucune,Non,verifie_non_scrapable,2026-08-25,Non
Le Coin des Barons (Rivoli),Paris,75,"48 bis Rue de Rivoli, 75004 Paris",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,Oui,P1,MapTCG,lecoindesbarons.com,woocommerce,Oui,deja_scrape,2026-08-25,Non
Le Repaire du Dragon,Paris,75,"43 bis Av. Simon Bolivar, 75019 Paris",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,Oui,P1,MapTCG,lerepairedudragon.fr,prestashop,a_verifier_manuellement,"insuffisant_verifie (5309 produits/0 slug pokemon -- gros catalogue, naming probablement different)",2026-08-25,Non
Les Gentlemen du Jeu,Paris,75,"13 Av. du Père Lachaise, 75020 Paris",TCG multi-jeux,Oui,Oui,Oui,À vérifier,À vérifier,Oui,Oui,P2,MapTCG,lesgentlemendujeu.com,a_verifier,a_verifier_plateforme,url_trouvee,2026-08-25,Non
Magic Corporation,Paris,75,"24 Bd Beaumarchais, 75011 Paris",TCG Magic,Non,Non,Oui,À vérifier,Oui,Oui,À vérifier,P2,MapTCG,boutique.magiccorporation.com,a_verifier,a_verifier_plateforme,"url_trouvee -- MAGIC UNIQUEMENT, pas de Pokemon (coherent avec pokemon=Non dans la liste)",2026-08-25,Non
Majestik Games,Paris,75,"148 Av. du Maine, 75014 Paris",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,À vérifier,P2,MapTCG,majestikgames.com,a_verifier (URLs /fr/content/NN-... type PrestaShop),a_verifier_plateforme,url_trouvee,2026-08-25,Non
MEiSiA,Paris,75,"84 Rue René Boulanger, 75010 Paris",TCG,Oui,Oui,Oui,À vérifier,À vérifier,Oui,Oui,P1,MapTCG,shop.cafemeisia.com,custom_confirme_non_boutique,Non,verifie_non_scrapable,2026-08-25,Non
NEDYU SHOP,Paris,75,"200 Rue de la Croix Nivert, 75015 Paris",TCG Pokémon,Oui,Non,Non,À vérifier,À vérifier,Oui,Oui,P1,MapTCG,nedyu-shop.fr,custom_confirme_non_boutique,Non,verifie_non_scrapable,2026-08-25,Non
Parkage EDB,Paris,75,"11 Rue de l'Épée-de-Bois, 75005 Paris",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,Oui,P1,MapTCG,parkage.com,custom_confirme_non_boutique,Non,verifie_non_scrapable,2026-08-25,Non
Parkage GSH,Paris,75,"25 Rue Geoffroy-Saint-Hilaire, 75005 Paris",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,Oui,P1,MapTCG,parkage.com,custom_confirme_non_boutique,Non,verifie_non_scrapable,2026-08-25,Non
Playin Paris BNF,Paris,75,"131 Avenue de France, 75013 Paris",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,Oui,P1,MapTCG,play-in.com,custom_non_detecte,Non,verifie_non_scrapable,2026-08-25,Oui
STARPLAYER,Paris,75,"16 Rue Lagrange, 75005 Paris",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,À vérifier,P2,MapTCG,starplayer.fr,a_verifier (URLs /NN-accueil type PrestaShop),a_verifier_plateforme,url_trouvee,2026-08-25,Non
Troll2jeux,Paris,75,"15-17 Pl. d'Aligre, 75012 Paris",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,À vérifier,P2,MapTCG,troll2jeux.com,a_verifier,a_verifier_plateforme,url_trouvee,2026-08-25,Non
Uchronies Games,Paris,75,"61 Rue Letellier, 75015 Paris",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,À vérifier,P2,MapTCG,uchroniesgames.fr,a_verifier,a_verifier_plateforme,url_trouvee,2026-08-25,Non
UltraJeux Bastille,Paris,75,"13 Rue Amelot, 75011 Paris",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,Oui,P1,MapTCG,ultrajeux.com,custom_confirme_non_boutique,Non,verifie_non_scrapable,2026-08-25,Non
UltraJeux Oberkampf,Paris,75,"108 Bd Richard Lenoir, 75011 Paris",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,Oui,P1,MapTCG,ultrajeux.com,custom_confirme_non_boutique,Non,verifie_non_scrapable,2026-08-25,Non
UltraJeux - Rennes-Raspail,Paris,75,"110 Rue de Rennes, 75006 Paris",TCG,Oui,Oui,Oui,À vérifier,Oui,Oui,Oui,P1,MapTCG,ultrajeux.com,custom_confirme_non_boutique,Non,verifie_non_scrapable,2026-08-25,Non
Call Out : The Game,Marseille,13,"96 Rue Paradis, 13006 Marseille",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,"aucun site propre trouve (calloutthegame.com est un JEU DE CARTES DIFFERENT, homonyme -- pas la boutique)",aucune,Non,verifie_non_scrapable -- attention piege de nom,2026-08-25,Non
DY_TCG,Marseille,13,"13 Imp. de Sète, 13010 Marseille",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,aucun trouve,aucune,Non,verifie_non_scrapable,2026-08-25,Non
Game Crypt,Marseille,13,"7 Cours Lieutaud, 13006 Marseille",TCG,Oui,Non,Oui,À vérifier,À vérifier,Oui,À vérifier,P2,MapTCG,lacryptedujeu.fr (doublon),custom_confirme_non_boutique,Non,doublon_confirme -- meme adresse que La Crypte du Jeu (7 Cours Lieutaud),2026-08-25,Oui
La Crypte du Jeu,Marseille,13,"7 Cours Lieutaud, 13006 Marseille",TCG,Oui,Non,Oui,À vérifier,Oui,Oui,Oui,P1,MapTCG,lacryptedujeu.fr,custom_confirme_non_boutique,Non,verifie_non_scrapable,2026-08-25,Oui
